Author,Title,Epub.No
"Hawthorne, Nathaniel, 1804-1864",Mosses from an old manse,512
"Hume, David, 1711-1776",An Enquiry Concerning Human Understanding,9662
"Potter, Beatrix, 1866-1943",The Tale of Peter Rabbit,14838
"Doyle, Arthur Conan, 1859-1930",The Sign of the Four,2097
"Darwin, Charles, 1809-1882","On the Origin of Species By Means of Natural SelectionOr, the Preservation of Favoured Races in the Struggle for Life",1228
"Homer, 751? BCE-651? BCE",La Odisea,58221
"Christie, Agatha, 1890-1976",The Mysterious Affair at Styles,863
"Chaucer, Geoffrey, 1343?-1400","Chaucer's Works, Volume 4 — The Canterbury Tales",22120
"Goethe, Johann Wolfgang von, 1749-1832",Faust [part 1]. Translated Into English in the Original Metres,14591
"Bierce, Ambrose, 1842-1914?",The Devil's Dictionary,972
"Twain, Mark, 1835-1910",The Innocents Abroad,3176
"Homer, 751? BCE-651? BCE",The Iliad,2199
"Chateaubriand, François-René, vicomte de, 1768-1848","The Memoirs of François René Vicomte de Chateaubriand sometime Ambassador to England, Volume 2 (of 6)Mémoires d'outre-tombe, volume 2",54788
"Goethe, Johann Wolfgang von, 1749-1832",The Sorrows of Young Werther,2527
"Ticknor, George, 1791-1871","History of Spanish Literature, vol. 3 (of 3)",56490
"More, Thomas, Saint, 1478-1535",Utopia,2130
"Campbell, James M., 1846-1903","History of GujarátGazetteer of the Bombay Presidency, Volume I, Part I.",54652
"Nietzsche, Friedrich Wilhelm, 1844-1900",The Antichrist,19322
"Paine, Thomas, 1737-1809",Common Sense,147
"Wells, H. G. (Herbert George), 1866-1946",The island of Doctor Moreau,159
"Chekhov, Anton Pavlovich, 1860-1904",The Sea-Gull,1754
"Woolf, Virginia, 1882-1941",Mrs. Dalloway,71865
"Clausewitz, Carl von, 1780-1831",On War,1946
"Hugo, Victor, 1802-1885",Les misérables Tome I: Fantine,17489
"Ovid, 44 BCE-18?","The Metamorphoses of Ovid, Books I-VII",21765
"Verne, Jules, 1828-1905",Around the World in Eighty Days,103
"Chekhov, Anton Pavlovich, 1860-1904",Uncle Vanya: Scenes from Country Life in Four Acts,1756
"Austen, Jane, 1775-1817",Mansfield Park,141
"Boccaccio, Giovanni, 1313-1375",The Decameron of Giovanni Boccaccio,23700
"Kipling, Rudyard, 1865-1936",Just So Stories,2781
"London, Jack, 1876-1916",White Fang,910
"Melville, Herman, 1819-1891","Bartleby, the Scrivener: A Story of Wall-Street",11231
"Herzl, Theodor, 1860-1904",The Jewish State,25282
"Sophocles, 496? BCE-407 BCE",Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes,27673
"Blake, William, 1757-1827",The Marriage of Heaven and Hell,45315
"Aristophanes, 447? BCE-386? BCE",Lysistrata,7700
"Lincoln, Abraham, 1809-1865","The Papers and Writings of Abraham Lincoln, Complete",3253
"Hemingway, Ernest, 1899-1961",The Sun Also Rises,67138
"Plato, 428? BCE-348? BCE",Phaedrus,1636
"Luce, Edmund",Helps to Latin Translation at Sight,28890
"Wells, H. G. (Herbert George), 1866-1946",The Outline of History: Being a Plain History of Life and Mankind,45368
"Whitman, Walt, 1819-1892",Leaves of Grass,1322
"Maupassant, Guy de, 1850-1893",Complete Original Short Stories of Guy De Maupassant,3090
"Baudelaire, Charles, 1821-1867",The Flowers of Evil,36098
"Dante Alighieri, 1265-1321","Divine Comedy, Longfellow's Translation, Hell",1001
"Cleland, John, 1709-1789","Memoirs of Fanny HillA New and Genuine Edition from the Original Text (London, 1749)",25305
"Dostoyevsky, Fyodor, 1821-1881",The Possessed (The Devils),8117
"Bagwell, Richard, 1840-1918","Ireland under the Tudors, with a Succinct Account of the Earlier History. Vol. 2 (of 3)",48334
"Riis, Jacob A. (Jacob August), 1849-1914",How the Other Half Lives: Studies Among the Tenements of New York,45502
"Aesop, 621? BCE-565? BCE",Aesop's Fables; a new translation,11339
"Wells, H. G. (Herbert George), 1866-1946",The Invisible Man: A Grotesque Romance,5230
"Montaigne, Michel de, 1533-1592",Essays of Michel de Montaigne — Complete,3600
"Ibsen, Henrik, 1828-1906",Hedda Gabler,4093
"Dumas, Alexandre, 1802-1870",The three musketeers,1257
"Hartley, Florence","The Ladies' Book of Etiquette, and Manual of PolitenessA Complete Hand Book for the Use of the Lady in Polite Society",35123
"Wilde, Oscar, 1854-1900",De Profundis,921
"Livy, 59 BCE-16","The History of Rome, Books 01 to 08",19725
"Northup, Solomon, 1808-1863?","Twelve Years a SlaveNarrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853, from a Cotton Plantation near the Red River in Louisiana",45631
"Aristotle, 385 BCE-323 BCE",The Poetics of Aristotle,1974
Apicius,Cookery and Dining in Imperial Rome,29728
"Herodotus, 481? BCE-421? BCE",The History of Herodotus — Volume 1,2707
"Poe, Edgar Allan, 1809-1849",The Works of Edgar Allan Poe — Volume 1,2147
"Berens, E. M.",Myths and Legends of Ancient Greece and Rome,22381
"Nietzsche, Friedrich Wilhelm, 1844-1900","The Twilight of the Idols; or, How to Philosophize with the Hammer. The AntichristComplete Works, Volume Sixteen",52263
"Emerson, Ralph Waldo, 1803-1882",Essays by Ralph Waldo Emerson,16643
"Epictetus, 55-135",The Enchiridion,45109
"Josephus, Flavius, 38?-100?","The Wars of the Jews; Or, The History of the Destruction of Jerusalem",2850
"Garis, Howard Roger, 1873-1962",Daddy Takes Us to the GardenThe Daddy Series for Little Folks,14859
"Hugo, Victor, 1802-1885",Notre-Dame de Paris,2610
United States,The United States Bill of RightsThe Ten Original Amendments to the Constitution of the United States,2
"Nietzsche, Friedrich Wilhelm, 1844-1900","The Birth of Tragedy; or, Hellenism and Pessimism",51356
"Wharton, Edith, 1862-1937",The Age of Innocence,541
"Sewell, Anna, 1820-1878",Black Beauty,271
"Wright, Orville, 1871-1948",The Early History of the Airplane,25420
"Smith, Adam, 1723-1790",An Inquiry into the Nature and Causes of the Wealth of Nations,3300
"Dickinson, Emily, 1830-1886","Poems by Emily Dickinson, Three Series, Complete",12242
"Marcus Aurelius, Emperor of Rome, 121-180",The Meditations of the Emperor Marcus Aurelius AntoninusA new rendering based on the Foulis translation of 1742,55317
"Poe, Edgar Allan, 1809-1849",The Fall of the House of Usher,932
"Polidori, John William, 1795-1821",The Vampyre; a Tale,6087
"Davis, E. H. (Edwin Hamilton), 1811-1888","Ancient Monuments of the Mississippi ValleySmithsonian Contributions to Knowledge, Vol. I.",49668
"Forster, E. M. (Edward Morgan), 1879-1970",A Passage to India,61221
,"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata)Being a discourse between Arjuna, Prince of India, and the Supreme Being under the form of Krishna",2388
"Hardy, Thomas, 1840-1928",Tess of the d'Urbervilles: A Pure Woman,110
"Dostoyevsky, Fyodor, 1821-1881",The Grand Inquisitor,8578
"Boethius, 480-525?",The Consolation of Philosophy,14328
"Leblanc, Maurice, 1864-1941","The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",6133
"Webster, John, 1580?-1625?",The Duchess of Malfi,2232
"Mansfield, Katherine, 1888-1923","The Garden Party, and Other Stories",1429
"Dante Alighieri, 1265-1321",The Divine Comedy of Dante Alighieri: The Inferno,41537
"Plato, 428? BCE-348? BCE",Symposium,1600
"Leroux, Gaston, 1868-1927",The Phantom of the Opera,175
"Wu, Cheng'en, 1500?-1582?",西遊記,23962
"Gaskell, Elizabeth Cleghorn, 1810-1865",North and South,4276
"Pope, Alexander, 1688-1744","The Works of Alexander Pope, Volume 1Poetry - Volume 1",32190
"Rostand, Edmond, 1868-1918",Cyrano de Bergerac,1254
"Goldsmith, Oliver, 1730?-1774","She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",383
"Thompson, D'Arcy Wentworth, 1860-1948",On Growth and Form,55264
"Grant, Ulysses S. (Ulysses Simpson), 1822-1885","Personal Memoirs of U. S. Grant, Complete",4367
"Twain, Mark, 1835-1910",Life on the Mississippi,245
"Cankar, Ivan, 1876-1918",Erotika,73185
"Hume, David, 1711-1776",A Treatise of Human Nature,4705
"Zamiatin, Evgenii Ivanovich, 1884-1937",We,61963
"Washington, Booker T., 1856-1915",Up from Slavery: An Autobiography,2376
"Henderson, G. F. R. (George Francis Robert), 1854-1903",Stonewall Jackson and the American Civil War,12233
"Chekhov, Anton Pavlovich, 1860-1904",The Lady with the Dog and Other Stories,13415
"AlHydar, Majid",Tribute to Michael Hart,43007
,Best Russian Short Stories,13437
"Dante Alighieri, 1265-1321",La Divina Comedia,57303
"Le Queux, William, 1864-1927",Behind the bronze door,73266
"Fleming, Walter L. (Walter Lynwood), 1874-1932",Civil War and Reconstruction in Alabama,41680
"Wilde, Oscar, 1854-1900","Poems, with The Ballad of Reading Gaol",1057
"Thornbury, Walter, 1828-1876",Haunted London,41580
"Ibsen, Henrik, 1828-1906",Ghosts,8121
"Čapek, Karel, 1890-1938",R.U.R. (Rossum's Universal Robots)A Fantastic Melodrama in Three Acts and an Epilogue,59112
"Kant, Immanuel, 1724-1804",Perpetual Peace: A Philosophical Essay,50922
"Dickens, Charles, 1812-1870",Bleak House,1023
"Hoffmann, Heinrich, 1809-1894",Der Struwwelpeteroder lustige Geschichten und drollige Bilder,24571
"Wharton, Edith, 1862-1937",Ethan Frome,4517
"Hotten, John Camden, 1832-1873","The slang dictionary :  Etymological, historical and anecdotal",42108
"Christie, Agatha, 1890-1976",Poirot Investigates,61262
"Shakespeare, William, 1564-1616",The Tragedy of King Lear,1532
